"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","CG0073","HP0001","HP0015","HP0047","HP0048","HP0069","HP0076","HP0077","Neisseria_cinerea_ATCC_14685","Neisseria_elongata_subsp_glycolytica_ATCC_29315","Neisseria_flavescens_NRL30031","Neisseria_gonorrhoeae_FA1090","Neisseria_lactamica_ATCC_23970","Neisseria_meningitidis_MC58","Neisseria_mucosa_ATCC_25996","Neisseria_polysaccharea_ATCC_43768","Neisseria_sicca_ATCC_29256","Neisseria_subflava_NJ9703","TT0073","TT0074"
"znuC","","Zinc import ATP-binding protein ZnuC","12","12","1","1","677","1","6320","","725","755","732","HMOAHFMJ_00299","IDGDMJON_02418","JOFAMBFM_00277","PFGGLJGN_00513","CPIGLEMO_01748","HHMKECDE_01820","DCPLGDCJ_01791","AOPEFJLO_00612","","","NEIFLAOT_RS10410.p01","","","","","","","NEISUBOT_RS08730.p01","MGNOPCIE_01366","PAHHJFHK_01788"
"yciK","","putative oxidoreductase YciK","12","12","1","1","672","1","6325","","719","761","722","HMOAHFMJ_00304","IDGDMJON_02413","JOFAMBFM_00282","PFGGLJGN_00508","CPIGLEMO_01743","HHMKECDE_01825","DCPLGDCJ_01786","AOPEFJLO_00607","","","NEIFLAOT_RS10445.p01","","","","","","","NEISUBOT_RS08705.p01","MGNOPCIE_01371","PAHHJFHK_01793"
"nosF","","putative ABC transporter ATP-binding protein NosF","12","12","1","1","7338","1","3321","","893","899","895","HMOAHFMJ_00356","IDGDMJON_01236","JOFAMBFM_00321","PFGGLJGN_01668","CPIGLEMO_00783","HHMKECDE_01864","DCPLGDCJ_01748","AOPEFJLO_00569","","","NEIFLAOT_RS01750.p01","","","","","","","NEISUBOT_RS04255.p01","MGNOPCIE_01412","PAHHJFHK_00521"
"tatC","","Sec-independent protein translocase protein TatC","12","12","1","1","7320","1","3384","","776","776","776","HMOAHFMJ_00371","IDGDMJON_01251","JOFAMBFM_00337","PFGGLJGN_01682","CPIGLEMO_00800","HHMKECDE_01880","DCPLGDCJ_01732","AOPEFJLO_00554","","","NEIFLAOT_RS01830.p01","","","","","","","NEISUBOT_RS04180.p01","MGNOPCIE_01428","PAHHJFHK_00506"
"hisA","","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase","12","12","1","1","7308","1","3392","","737","737","737","HMOAHFMJ_00379","IDGDMJON_01259","JOFAMBFM_00345","PFGGLJGN_01690","CPIGLEMO_00808","HHMKECDE_01888","DCPLGDCJ_01724","AOPEFJLO_00546","","","NEIFLAOT_RS01870.p01","","","","","","","NEISUBOT_RS04140.p01","MGNOPCIE_01436","PAHHJFHK_00498"
"rpsP","","30S ribosomal protein S16","12","12","1","1","7297","1","3411","","221","248","245","HMOAHFMJ_00393","IDGDMJON_01268","JOFAMBFM_00354","PFGGLJGN_01699","CPIGLEMO_00817","HHMKECDE_01897","DCPLGDCJ_01714","AOPEFJLO_00536","","","NEIFLAOT_RS01915.p01","","","","","","","NEISUBOT_RS04095.p01","MGNOPCIE_01446","PAHHJFHK_00489"
"NEISUBOT_RS03940","","hypothetical protein","12","12","1","1","2394","1","4230","","641","641","641","HMOAHFMJ_00434","IDGDMJON_01300","JOFAMBFM_00388","PFGGLJGN_01730","CPIGLEMO_01674","HHMKECDE_01927","DCPLGDCJ_01683","AOPEFJLO_00491","","","NEIFLAOT_RS02445.p01","","","","","","","NEISUBOT_RS03940.p01","MGNOPCIE_01483","PAHHJFHK_00458"
"NEISUBOT_RS03865","","hypothetical protein","12","12","1","1","6958","1","5827","","695","989","964","HMOAHFMJ_00466","IDGDMJON_01316","JOFAMBFM_00403","PFGGLJGN_01745","CPIGLEMO_01658","HHMKECDE_01947","DCPLGDCJ_01666","AOPEFJLO_01821","","","NEIFLAOT_RS06800.p01","","","","","","","NEISUBOT_RS03865.p01","MGNOPCIE_01500","PAHHJFHK_00442"
"NEISUBOT_RS10515","","hypothetical protein","12","12","1","1","7104","1","6890","","662","662","662","HMOAHFMJ_00498","IDGDMJON_02394","JOFAMBFM_01315","PFGGLJGN_00487","CPIGLEMO_01725","HHMKECDE_01975","DCPLGDCJ_00779","AOPEFJLO_01844","","","NEIFLAOT_RS04065.p01","","","","","","","NEISUBOT_RS10515.p01","MGNOPCIE_00043","PAHHJFHK_01814"
"yciO","","putative protein YciO","12","12","1","1","3293","1","5786","","473","620","607","HMOAHFMJ_00517","IDGDMJON_02379","JOFAMBFM_01306","PFGGLJGN_00476","CPIGLEMO_01715","HHMKECDE_01985","DCPLGDCJ_00788","AOPEFJLO_01853","","","NEIFLAOT_RS04115.p01","","","","","","","NEISUBOT_RS10925.p01","MGNOPCIE_00032","PAHHJFHK_01824"
"NEIFLAOT_RS06975","","hypothetical protein","12","12","1","1","5290","1","5873","","557","557","557","HMOAHFMJ_00548","IDGDMJON_01352","JOFAMBFM_00443","PFGGLJGN_01780","CPIGLEMO_01620","HHMKECDE_02010","DCPLGDCJ_01619","AOPEFJLO_01878","","","NEIFLAOT_RS06975.p01","","","","","","","NEISUBOT_RS03670.p01","MGNOPCIE_01540","PAHHJFHK_00403"
"NEISUBOT_RS03630","","hypothetical protein","12","12","1","1","550","1","3309","","713","713","713","HMOAHFMJ_00557","IDGDMJON_01360","JOFAMBFM_00452","PFGGLJGN_01788","CPIGLEMO_01610","HHMKECDE_02019","DCPLGDCJ_01611","AOPEFJLO_01887","","","NEIFLAOT_RS03320.p01","","","","","","","NEISUBOT_RS03630.p01","MGNOPCIE_01549","PAHHJFHK_00395"
"moaC2","","Cyclic pyranopterin monophosphate synthase 2","12","12","1","1","635","1","3447","","464","464","464","HMOAHFMJ_00572","IDGDMJON_01374","JOFAMBFM_00467","PFGGLJGN_01802","CPIGLEMO_01597","HHMKECDE_02032","DCPLGDCJ_01598","AOPEFJLO_01901","","","NEIFLAOT_RS09530.p01","","","","","","","NEISUBOT_RS03565.p01","MGNOPCIE_01563","PAHHJFHK_00381"
"NEISUBOT_RS03530","","hypothetical protein","12","12","1","1","2551","1","3132","","221","221","221","HMOAHFMJ_00584","IDGDMJON_01383","JOFAMBFM_00476","PFGGLJGN_01809","CPIGLEMO_01588","HHMKECDE_02041","DCPLGDCJ_01589","AOPEFJLO_01909","","","NEIFLAOT_RS09570.p01","","","","","","","NEISUBOT_RS03530.p01","MGNOPCIE_01572","PAHHJFHK_00373"
"orn","","Oligoribonuclease","12","12","1","1","2545","1","3127","","557","557","557","HMOAHFMJ_00590","IDGDMJON_01386","JOFAMBFM_00481","PFGGLJGN_01812","CPIGLEMO_01584","HHMKECDE_02045","DCPLGDCJ_01585","AOPEFJLO_01914","","","NEIFLAOT_RS09585.p01","","","","","","","NEISUBOT_RS07715.p01","MGNOPCIE_01576","PAHHJFHK_00369"
"gpt","","Xanthine phosphoribosyltransferase","12","12","1","1","2528","1","3100","","524","524","524","HMOAHFMJ_00609","IDGDMJON_01402","JOFAMBFM_00497","PFGGLJGN_01828","CPIGLEMO_01568","HHMKECDE_02060","DCPLGDCJ_01569","AOPEFJLO_01930","","","NEIFLAOT_RS09665.p01","","","","","","","NEISUBOT_RS07800.p01","MGNOPCIE_01592","PAHHJFHK_00353"
"kefC","","Glutathione-regulated potassium-efflux system protein KefC","12","12","1","1","2451","1","2403","","1982","1982","1982","HMOAHFMJ_00621","IDGDMJON_01411","JOFAMBFM_00506","PFGGLJGN_01837","CPIGLEMO_01559","HHMKECDE_02069","DCPLGDCJ_01560","AOPEFJLO_01939","","","NEIFLAOT_RS09700.p01","","","","","","","NEISUBOT_RS07845.p01","MGNOPCIE_01601","PAHHJFHK_00344"
"nrdR","","Transcriptional repressor NrdR","12","12","1","1","2579","1","3707","","452","452","452","HMOAHFMJ_00645","IDGDMJON_01439","JOFAMBFM_00527","PFGGLJGN_01866","CPIGLEMO_01539","HHMKECDE_02089","DCPLGDCJ_01539","AOPEFJLO_01959","","","NEIFLAOT_RS09800.p01","","","","","","","NEISUBOT_RS09815.p01","MGNOPCIE_01621","PAHHJFHK_00314"
"pglF","","UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase","12","12","1","1","4548","1","3743","","1133","1901","1837","HMOAHFMJ_00662","IDGDMJON_01451","JOFAMBFM_00539","PFGGLJGN_01878","CPIGLEMO_01527","HHMKECDE_02101","DCPLGDCJ_01528","AOPEFJLO_01971","","","NEIFLAOT_RS08310.p01","","","","","","","NEISUBOT_RS09875.p01","MGNOPCIE_01634","PAHHJFHK_00301"
"hpaR","","hypothetical protein","12","12","1","1","587","1","3471","","431","437","436","HMOAHFMJ_00677","IDGDMJON_01461","JOFAMBFM_00550","PFGGLJGN_01888","CPIGLEMO_01516","HHMKECDE_02111","DCPLGDCJ_01517","AOPEFJLO_01981","","","NEIFLAOT_RS08355.p01","","","","","","","NEISUBOT_RS09925.p01","MGNOPCIE_01645","PAHHJFHK_00291"
"NEIFLAOT_RS08420","","hypothetical protein","12","12","1","1","4557","1","3660","","335","335","335","HMOAHFMJ_00693","IDGDMJON_01476","JOFAMBFM_00565","PFGGLJGN_01900","CPIGLEMO_01502","HHMKECDE_02126","DCPLGDCJ_01502","AOPEFJLO_01994","","","NEIFLAOT_RS08420.p01","","","","","","","NEISUBOT_RS09995.p01","MGNOPCIE_01659","PAHHJFHK_00277"
"ubiG","","Ubiquinone biosynthesis O-methyltransferase","12","12","1","1","4597","1","3644","","713","728","715","HMOAHFMJ_00701","IDGDMJON_01485","JOFAMBFM_00579","PFGGLJGN_01908","CPIGLEMO_01493","HHMKECDE_02144","DCPLGDCJ_01494","AOPEFJLO_02002","","","NEIFLAOT_RS08505.p01","","","","","","","NEISUBOT_RS10035.p01","MGNOPCIE_01667","PAHHJFHK_00269"
"queA","","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","12","12","1","1","4932","1","3581","","1028","1028","1028","HMOAHFMJ_00724","IDGDMJON_01505","JOFAMBFM_00608","PFGGLJGN_01927","CPIGLEMO_01472","HHMKECDE_02156","DCPLGDCJ_01474","AOPEFJLO_02023","","","NEIFLAOT_RS04885.p01","","","","","","","NEISUBOT_RS10370.p01","MGNOPCIE_01687","PAHHJFHK_00250"
"NEIFLAOT_RS05050","","hypothetical protein","12","12","1","1","4859","1","3152","","1073","1073","1073","HMOAHFMJ_00778","IDGDMJON_01541","JOFAMBFM_00644","PFGGLJGN_01972","CPIGLEMO_01441","HHMKECDE_02189","DCPLGDCJ_01434","AOPEFJLO_02062","","","NEIFLAOT_RS05050.p01","","","","","","","NEISUBOT_RS10210.p01","MGNOPCIE_01722","PAHHJFHK_00212"
"NEISUBOT_RS07025","","hypothetical protein","12","12","1","1","3489","1","5112","","611","611","611","HMOAHFMJ_00853","IDGDMJON_02051","JOFAMBFM_00703","PFGGLJGN_00237","CPIGLEMO_01390","HHMKECDE_00049","DCPLGDCJ_01381","AOPEFJLO_02124","","","NEIFLAOT_RS05855.p01","","","","","","","NEISUBOT_RS07025.p01","MGNOPCIE_01783","PAHHJFHK_02166"
"zupT","","Zinc transporter ZupT","12","12","1","1","2803","1","6128","","668","809","797","HMOAHFMJ_00898","IDGDMJON_02021","JOFAMBFM_00735","PFGGLJGN_00211","CPIGLEMO_01361","HHMKECDE_00080","DCPLGDCJ_01350","AOPEFJLO_02163","","","","","","789e0afcaef373706e96bedeae961f4c_699","","","","NEISUBOT_RS06880.p01","MGNOPCIE_01870","PAHHJFHK_02200"
"minD","","Septum site-determining protein MinD","12","12","1","1","2797","1","6140","","815","815","815","HMOAHFMJ_00905","IDGDMJON_02015","JOFAMBFM_00742","PFGGLJGN_00205","CPIGLEMO_01355","HHMKECDE_00087","DCPLGDCJ_01344","AOPEFJLO_02169","","","NEIFLAOT_RS05795.p01","","","","","","","NEISUBOT_RS06850.p01","MGNOPCIE_01876","PAHHJFHK_02207"
"NEIFLAOT_RS05810","","hypothetical protein","12","12","1","1","2793","1","6143","","212","212","212","HMOAHFMJ_00909","IDGDMJON_02012","JOFAMBFM_00745","PFGGLJGN_00202","CPIGLEMO_01352","HHMKECDE_00090","DCPLGDCJ_01341","AOPEFJLO_02172","","","NEIFLAOT_RS05810.p01","","","","","","","NEISUBOT_RS06835.p01","MGNOPCIE_01879","PAHHJFHK_02210"
"alx","","Putative membrane-bound redox modulator Alx","12","12","1","1","2791","1","6145","","974","974","974","HMOAHFMJ_00911","IDGDMJON_02010","JOFAMBFM_00747","PFGGLJGN_00200","CPIGLEMO_01350","HHMKECDE_00092","DCPLGDCJ_01339","AOPEFJLO_02174","","","NEIFLAOT_RS05820.p01","","","","","","","NEISUBOT_RS06825.p01","MGNOPCIE_01881","PAHHJFHK_02212"
"pyrI","","Aspartate carbamoyltransferase regulatory chain","12","12","1","1","7038","1","6258","","458","458","458","HMOAHFMJ_01002","IDGDMJON_01769","JOFAMBFM_00851","PFGGLJGN_02069","CPIGLEMO_01251","HHMKECDE_00188","DCPLGDCJ_01261","AOPEFJLO_02314","","","NEIFLAOT_RS01505.p01","","","","","","","NEISUBOT_RS06520.p01","MGNOPCIE_01965","PAHHJFHK_00015"
"pyrB","","Aspartate carbamoyltransferase catalytic subunit","12","12","1","1","7039","1","6259","","920","920","920","HMOAHFMJ_01003","IDGDMJON_01768","JOFAMBFM_00852","PFGGLJGN_02070","CPIGLEMO_01250","HHMKECDE_00189","DCPLGDCJ_01260","AOPEFJLO_02315","","","NEIFLAOT_RS01510.p01","","","","","","","NEISUBOT_RS06515.p01","MGNOPCIE_01966","PAHHJFHK_00016"
"xseB","","Exodeoxyribonuclease 7 small subunit","12","12","1","1","3021","1","1781","","227","263","230","HMOAHFMJ_01095","IDGDMJON_01691","JOFAMBFM_00932","PFGGLJGN_02143","CPIGLEMO_01183","HHMKECDE_00260","DCPLGDCJ_01186","AOPEFJLO_02403","","","NEIFLAOT_RS07650.p01","","","","","","","NEISUBOT_RS01890.p01","MGNOPCIE_02045","PAHHJFHK_00091"
"ftsX","","Cell division protein FtsX","12","12","1","1","3005","1","1752","","788","917","906","HMOAHFMJ_01108","IDGDMJON_01683","JOFAMBFM_00943","PFGGLJGN_02132","CPIGLEMO_01174","HHMKECDE_00270","DCPLGDCJ_01178","AOPEFJLO_02412","","","NEIFLAOT_RS07690.p01","","","","","","","NEISUBOT_RS01850.p01","MGNOPCIE_02052","PAHHJFHK_00098"
"yfgD","","putative protein YfgD","12","12","1","1","3002","1","1749","","359","359","359","HMOAHFMJ_01111","IDGDMJON_01680","JOFAMBFM_00946","PFGGLJGN_02129","CPIGLEMO_01171","HHMKECDE_00273","DCPLGDCJ_01175","AOPEFJLO_02415","","","NEIFLAOT_RS07725.p01","","","","","","","NEISUBOT_RS01825.p01","MGNOPCIE_02055","PAHHJFHK_00101"
"cdsA","","Phosphatidate cytidylyltransferase","12","12","1","1","3477","1","5507","","794","794","794","HMOAHFMJ_01184","IDGDMJON_01633","JOFAMBFM_00990","PFGGLJGN_00035","CPIGLEMO_01127","HHMKECDE_00322","DCPLGDCJ_01130","AOPEFJLO_00037","","","NEIFLAOT_RS08725.p01","","","","","","","NEISUBOT_RS01625.p01","MGNOPCIE_02101","PAHHJFHK_00147"
"lpxD","","UDP-3-O-acylglucosamine N-acyltransferase","12","12","1","1","3470","1","5514","","1040","1040","1040","HMOAHFMJ_01192","IDGDMJON_01627","JOFAMBFM_00997","PFGGLJGN_00041","CPIGLEMO_01121","HHMKECDE_00328","DCPLGDCJ_01124","AOPEFJLO_00043","","","NEIFLAOT_RS08755.p01","","","","","","","NEISUBOT_RS01595.p01","MGNOPCIE_02108","PAHHJFHK_00153"
"NEIFLAOT_RS08990","","hypothetical protein","12","12","1","1","5104","1","197","","590","650","595","HMOAHFMJ_01295","IDGDMJON_02109","JOFAMBFM_01057","PFGGLJGN_02051","CPIGLEMO_01063","HHMKECDE_00397","DCPLGDCJ_01063","AOPEFJLO_00114","","","NEIFLAOT_RS08990.p01","","","","","","","NEISUBOT_RS01300.p01","MGNOPCIE_02159","PAHHJFHK_02107"
"atpC","","ATP synthase epsilon chain","12","12","1","1","4772","1","1222","","425","425","425","HMOAHFMJ_01357","IDGDMJON_02160","JOFAMBFM_01101","PFGGLJGN_02001","CPIGLEMO_01014","HHMKECDE_00444","DCPLGDCJ_01015","AOPEFJLO_00180","","","NEIFLAOT_RS03950.p01","","","","","","","NEISUBOT_RS01035.p01","MGNOPCIE_02213","PAHHJFHK_02052"
"NEISUBOT_RS11210","","hypothetical protein","12","12","1","1","4824","1","3267","","92","92","92","HMOAHFMJ_01378","IDGDMJON_02180","JOFAMBFM_01119","PFGGLJGN_00279","CPIGLEMO_01000","HHMKECDE_00466","DCPLGDCJ_00997","AOPEFJLO_00193","","","NEIFLAOT_RS11535.p01","","","","","","","NEISUBOT_RS11210.p01","MGNOPCIE_02229","PAHHJFHK_02024"
"yccA","","Modulator of FtsH protease YccA","12","12","1","1","4480","1","3958","","686","686","686","HMOAHFMJ_01401","IDGDMJON_02198","JOFAMBFM_01138","PFGGLJGN_00297","CPIGLEMO_00976","HHMKECDE_00486","DCPLGDCJ_00974","AOPEFJLO_00219","","","NEIFLAOT_RS10565.p01","","","","","","","NEISUBOT_RS00815.p01","MGNOPCIE_02251","PAHHJFHK_02003"
"NEISUBOT_RS00735","","hypothetical protein","12","12","1","1","4441","1","3929","","788","788","788","HMOAHFMJ_01427","IDGDMJON_02213","JOFAMBFM_01153","PFGGLJGN_00312","CPIGLEMO_00962","HHMKECDE_00500","DCPLGDCJ_00958","AOPEFJLO_00239","","","NEIFLAOT_RS08080.p01","","","","","","","NEISUBOT_RS00735.p01","MGNOPCIE_02274","PAHHJFHK_01988"
"NEISUBOT_RS00725","","hypothetical protein","12","12","1","1","4438","1","3926","","290","290","290","HMOAHFMJ_01429","IDGDMJON_02215","JOFAMBFM_01155","PFGGLJGN_00314","CPIGLEMO_00960","HHMKECDE_00502","DCPLGDCJ_00956","AOPEFJLO_00241","","","NEIFLAOT_RS08090.p01","","","","","","","NEISUBOT_RS00725.p01","MGNOPCIE_02276","PAHHJFHK_01986"
"slyX","","Protein SlyX","12","12","1","1","4413","1","5599","","227","227","227","HMOAHFMJ_01440","IDGDMJON_02223","JOFAMBFM_01163","PFGGLJGN_00322","CPIGLEMO_00951","HHMKECDE_00511","DCPLGDCJ_00948","AOPEFJLO_00249","","","NEIFLAOT_RS08140.p01","","","","","","","NEISUBOT_RS00685.p01","MGNOPCIE_02284","PAHHJFHK_01978"
"NEIFLAOT_RS04425","","hypothetical protein","12","12","1","1","4044","1","3838","","275","275","275","HMOAHFMJ_01558","IDGDMJON_02318","JOFAMBFM_01250","PFGGLJGN_00422","CPIGLEMO_00871","HHMKECDE_00601","DCPLGDCJ_00850","AOPEFJLO_00334","","","NEIFLAOT_RS04425.p01","","","","","","","NEISUBOT_RS00265.p01","MGNOPCIE_02372","PAHHJFHK_01878"
"pncB2","","Nicotinate phosphoribosyltransferase 2","12","12","1","1","4001","1","4609","","1148","1220","1214","HMOAHFMJ_01613","IDGDMJON_02361","JOFAMBFM_01290","PFGGLJGN_00461","CPIGLEMO_01696","HHMKECDE_00643","DCPLGDCJ_00805","AOPEFJLO_00377","","","NEIFLAOT_RS04200.p01","","","","","","","NEISUBOT_RS00085.p01","MGNOPCIE_00014","PAHHJFHK_01839"
"NEIFLAOT_RS00525","","hypothetical protein","12","12","1","1","3857","1","4344","","509","509","509","HMOAHFMJ_01689","IDGDMJON_01159","JOFAMBFM_01369","PFGGLJGN_01592","CPIGLEMO_00709","HHMKECDE_00710","DCPLGDCJ_00723","AOPEFJLO_01790","","","NEIFLAOT_RS00525.p01","","","","","","","NEISUBOT_RS02305.p01","MGNOPCIE_00100","PAHHJFHK_00598"
"sdhC","","Succinate dehydrogenase cytochrome b556 subunit","12","12","1","1","3859","1","4341","","269","377","368","HMOAHFMJ_01693","IDGDMJON_01156","JOFAMBFM_01371","PFGGLJGN_01589","CPIGLEMO_00707","HHMKECDE_00712","DCPLGDCJ_00721","AOPEFJLO_01786","","","NEIFLAOT_RS00515.p01","","","","","","","NEISUBOT_RS02315.p01","MGNOPCIE_00102","PAHHJFHK_00601"
"rimP","","Ribosome maturation factor RimP","12","12","1","1","5551","1","6618","","431","449","434","HMOAHFMJ_01774","IDGDMJON_01111","JOFAMBFM_01424","PFGGLJGN_01545","CPIGLEMO_00657","HHMKECDE_00759","DCPLGDCJ_00663","AOPEFJLO_01737","","","NEIFLAOT_RS00275.p01","","","","","","","NEISUBOT_RS02560.p01","MGNOPCIE_00147","PAHHJFHK_00648"
"NEIFLAOT_RS00225","","hypothetical protein","12","12","1","1","5533","1","6602","","356","356","356","HMOAHFMJ_01789","IDGDMJON_01099","JOFAMBFM_01435","PFGGLJGN_01534","CPIGLEMO_00646","HHMKECDE_00771","DCPLGDCJ_00652","AOPEFJLO_01725","","","NEIFLAOT_RS00225.p01","","","","","","","NEISUBOT_RS02615.p01","MGNOPCIE_00158","PAHHJFHK_00658"
"NEIFLAOT_RS11170","","hypothetical protein","12","12","1","1","213","1","6453","","197","197","197","HMOAHFMJ_01840","IDGDMJON_01063","JOFAMBFM_01477","PFGGLJGN_01498","CPIGLEMO_00610","HHMKECDE_00810","DCPLGDCJ_00610","AOPEFJLO_01687","","","NEIFLAOT_RS11170.p01","","","","","","","NEISUBOT_RS02795.p01","MGNOPCIE_00196","PAHHJFHK_00695"
"NEISUBOT_RS02820","","hypothetical protein","12","12","1","1","219","1","6446","","1502","1502","1502","HMOAHFMJ_01846","IDGDMJON_01058","JOFAMBFM_01482","PFGGLJGN_01493","CPIGLEMO_00605","HHMKECDE_00816","DCPLGDCJ_00605","AOPEFJLO_01682","","","NEIFLAOT_RS03375.p01","","","","","","","NEISUBOT_RS02820.p01","MGNOPCIE_00201","PAHHJFHK_00700"
"ychQ","","Protein YchQ","12","12","1","1","338","1","6986","","374","374","374","HMOAHFMJ_01932","IDGDMJON_01000","JOFAMBFM_01541","PFGGLJGN_01432","CPIGLEMO_00551","HHMKECDE_00870","DCPLGDCJ_00544","AOPEFJLO_01628","","","NEIFLAOT_RS09265.p01","","","","","","","NEISUBOT_RS03105.p01","MGNOPCIE_00255","PAHHJFHK_00751"
"bcp","","Peroxiredoxin Bcp","12","12","1","1","341","1","6983","","443","443","443","HMOAHFMJ_01935","IDGDMJON_00997","JOFAMBFM_01544","PFGGLJGN_01429","CPIGLEMO_00548","HHMKECDE_00873","DCPLGDCJ_00541","AOPEFJLO_01625","","","NEIFLAOT_RS09250.p01","","","","","","","NEISUBOT_RS03120.p01","MGNOPCIE_00258","PAHHJFHK_00754"
"NEIFLAOT_RS09240","","hypothetical protein","12","12","1","1","343","1","6981","","200","338","211","HMOAHFMJ_01937","IDGDMJON_00995","JOFAMBFM_01546","PFGGLJGN_01427","CPIGLEMO_00546","HHMKECDE_00875","DCPLGDCJ_00539","AOPEFJLO_01623","","","NEIFLAOT_RS09240.p01","","","","","","","NEISUBOT_RS03130.p01","MGNOPCIE_00260","PAHHJFHK_00756"
"scpB","","Segregation and condensation protein B ","12","12","1","1","345","1","6979","","608","608","608","HMOAHFMJ_01939","IDGDMJON_00993","JOFAMBFM_01548","PFGGLJGN_01425","CPIGLEMO_00544","HHMKECDE_00877","DCPLGDCJ_00537","AOPEFJLO_01621","","","NEIFLAOT_RS09230.p01","","","","","","","NEISUBOT_RS03140.p01","MGNOPCIE_00262","PAHHJFHK_00758"
"fadD","","Long-chain-fatty-acid--CoA ligase","12","12","1","1","357","1","6972","","1655","1655","1655","HMOAHFMJ_01949","IDGDMJON_00982","JOFAMBFM_01555","PFGGLJGN_01418","CPIGLEMO_00538","HHMKECDE_00884","DCPLGDCJ_00530","AOPEFJLO_01614","","","NEIFLAOT_RS09195.p01","","","","","","","NEISUBOT_RS03175.p01","MGNOPCIE_00269","PAHHJFHK_00765"
"alsT_1","","Amino-acid carrier protein AlsT","12","12","1","1","381","1","6957","","1430","1430","1430","HMOAHFMJ_01963","IDGDMJON_00969","JOFAMBFM_01566","PFGGLJGN_00727","CPIGLEMO_00526","HHMKECDE_00895","DCPLGDCJ_00518","AOPEFJLO_01603","","","NEIFLAOT_RS09140.p01","","","","","","","NEISUBOT_RS03230.p01","MGNOPCIE_00280","PAHHJFHK_00777"
"trpA","","Tryptophan synthase alpha chain","12","12","1","1","854","1","1214","","785","785","785","HMOAHFMJ_01980","IDGDMJON_00953","JOFAMBFM_01584","PFGGLJGN_00749","CPIGLEMO_00510","HHMKECDE_00911","DCPLGDCJ_00500","AOPEFJLO_01587","","","NEIFLAOT_RS07070.p01","","","","","","","NEISUBOT_RS03310.p01","MGNOPCIE_00301","PAHHJFHK_00793"
"slyD","","FKBP-type peptidyl-prolyl cis-trans isomerase SlyD","12","12","1","1","828","1","1272","","482","488","482","HMOAHFMJ_02011","IDGDMJON_00934","JOFAMBFM_01607","PFGGLJGN_00769","CPIGLEMO_00489","HHMKECDE_00936","DCPLGDCJ_00476","AOPEFJLO_01566","","","NEIFLAOT_RS07575.p01","","","","","","","NEISUBOT_RS03410.p01","MGNOPCIE_00320","PAHHJFHK_00812"
"tsaE","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","12","12","1","1","526","1","1389","","317","470","457","HMOAHFMJ_02036","IDGDMJON_00925","JOFAMBFM_01619","PFGGLJGN_01350","CPIGLEMO_00481","HHMKECDE_00948","DCPLGDCJ_00468","AOPEFJLO_01556","","","NEIFLAOT_RS07535.p01","","","","","","","NEISUBOT_RS03450.p01","MGNOPCIE_00327","PAHHJFHK_00821"
"ycfH","","putative metal-dependent hydrolase YcfH","12","12","1","1","501","1","1369","","785","785","785","HMOAHFMJ_02061","IDGDMJON_00908","JOFAMBFM_01640","PFGGLJGN_01333","CPIGLEMO_00462","HHMKECDE_00967","DCPLGDCJ_00449","AOPEFJLO_01536","","","NEIFLAOT_RS08260.p01","","","","","","","NEISUBOT_RS09725.p01","MGNOPCIE_00347","PAHHJFHK_00838"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG","12","12","1","1","464","1","1354","","824","824","824","HMOAHFMJ_02074","IDGDMJON_00899","JOFAMBFM_01650","PFGGLJGN_01324","CPIGLEMO_00453","HHMKECDE_00976","DCPLGDCJ_00439","AOPEFJLO_01527","","","NEIFLAOT_RS08215.p01","","","","","","","NEISUBOT_RS09680.p01","MGNOPCIE_00356","PAHHJFHK_00847"
"NEISUBOT_RS09655","","hypothetical protein","12","12","1","1","456","1","1334","","680","680","680","HMOAHFMJ_02079","IDGDMJON_00894","JOFAMBFM_01655","PFGGLJGN_01319","CPIGLEMO_00448","HHMKECDE_00982","DCPLGDCJ_00434","AOPEFJLO_01522","","","NEIFLAOT_RS07155.p01","","","","","","","NEISUBOT_RS09655.p01","MGNOPCIE_00361","PAHHJFHK_00852"
"pssA","","hypothetical protein","12","12","1","1","454","1","1332","","779","779","779","HMOAHFMJ_02082","IDGDMJON_00892","JOFAMBFM_01657","PFGGLJGN_01317","CPIGLEMO_00446","HHMKECDE_00984","DCPLGDCJ_00432","AOPEFJLO_01520","","","NEIFLAOT_RS07165.p01","","","","","","","NEISUBOT_RS09645.p01","MGNOPCIE_00363","PAHHJFHK_00854"
"potA_1","","Spermidine/putrescine import ATP-binding protein PotA","12","12","1","1","6495","1","875","","1124","1157","1126","HMOAHFMJ_02125","IDGDMJON_00842","JOFAMBFM_01693","PFGGLJGN_01280","CPIGLEMO_00408","HHMKECDE_01020","DCPLGDCJ_00397","AOPEFJLO_01483","","","NEIFLAOT_RS02220.p01","","","","","","","NEISUBOT_RS09490.p01","MGNOPCIE_00529","PAHHJFHK_00900"
